player_external_id,name,position,team,season,week,scope,rec,rec_yd,rec_td,rush_yd,rush_td,pass_yd,pass_td,pass_int,floor_points,ceiling_points
p001,Jalen Carter-Reid,QB,PHI,2026,1,week,,,,,,240.0,2.95,0.0,14.2,31.0
p002,Marcus Deveraux,RB,SF,2026,1,week,3.0,20.0,,60.0,1.317,,,,10.1,30.2
p003,Tyrell Boone,RB,DET,2026,1,week,3.0,20.0,,60.0,0.7,,,,6.0,27.5
p004,Andre Whitlock,WR,MIN,2026,1,week,5.0,60.0,1.1,,,,,,11.0,26.4
p005,Kai Ostrander,WR,CIN,2026,1,week,5.0,60.0,0.517,,,,,,8.2,22.9
p006,Bennett Shaw,TE,KC,2026,1,week,5.0,60.0,0.283,,,,,,7.4,19.8
p007,Desmond Achebe,WR,BUF,2026,1,week,5.0,60.0,0.883,,,,,,9.8,25.1
p008,Rory Nakamura,K,BAL,2026,1,week,,,,84.0,,,,,5.0,13.0
p009,Seattle,DST,SEA,2026,1,week,,,,79.0,,,,,2.0,16.0
p010,Curtis Lamm,RB,GB,2026,1,week,3.0,20.0,,60.0,0.133,,,,8.9,15.2
p011,Emeka Sowande,RB,LAC,2026,1,week,3.0,20.0,,60.0,0.0,,,,3.1,24.8
p012,Hollis Trent,WR,DAL,2026,1,week,5.0,60.0,0.417,,,,,,8.0,21.0
p014,Grant Ellery,QB,ARI,2026,1,week,,,,,,240.0,1.625,0.0,10.0,24.0
p015,Damon Fitzhugh,WR,TB,2026,1,week,5.0,60.0,0.0,,,,,,4.5,16.1
f0001,Filler QB0001,QB,CHI,2026,1,week,,,,,,240.0,2.375,0.0,11.46,30.56
f0002,Filler RB0002,RB,HOU,2026,1,week,3.0,20.0,,60.0,1.2,,,,10.92,29.12
f0003,Filler RB0003,RB,JAX,2026,1,week,3.0,20.0,,60.0,1.05,,,,10.38,27.68
f0004,Filler WR0004,WR,MIA,2026,1,week,5.0,60.0,0.9,,,,,,9.84,26.24
